職缺,公司,薪資,經歷年資,工作內容,條件要求,工具要求,產業別,經歷年資2
工程技術類-大陸廠區智能製造主管(VSBG),中強光電股份有限公司,40000.0,8年以上,"1. 規劃整合製程自動化系統
2. 軟體架構規劃及撰寫
3. 電控規劃
3. 新產品導入及品質管控
",1. 具良好溝通協調心態，自我實現動機強2. 邏輯清晰，抗壓性佳，並樂於接受挑戰，能快速且持續學習3. 樂於派駐大陸廠區服務4. 有資訊行業2年 以上部級管理經驗（例如：PC、Note Book、 手機），待 過工廠的製造或產品工程管理部門5. 多益成績500分(含)以上, 設計導入製造執行系統（MES） 設計機台設備自動化,光電產業,8.0
工程類-智能工廠機械設計主任工程師(CIMO),中強光電股份有限公司,40000.0,8年以上,"1.職務說明:
根據製造單位需求，與相關部門共同訂定機械自動化開發目標(包含機械元件與電控元件規格)，完成符合規格的整機及細部設計，並於產品製作過程中與相關單位人員進行溝通，且參與測試檢驗。

2.主要任務:
A.收集機械自動化需求
B.訂定機械自動化開發目標
C.整機設計
D.外包工程進度管控
E.大陸出差試機安排",1.自動化或製程機台機台機構械設計經驗2.具拆圖及BOM展開能力,,光電產業,8.0
元大金控-投信專戶管理部智能投資研究員,元大金融控股股份有限公司(元大金控) (元大證券) (元大銀行),32000.0,4年以上,"1.智能投資模型研究與開發
2.資料自動化流程建構
3.視覺化儀表板建構
4.帳戶管理儲備經理人",1.證照:投信投顧人員資格2.語文能力:英文(其他第二外語)3.個人特質:團隊合作、遵循公司規範4.相關工作經歷需求:數據分析或機器學習AI相關工作經驗佳5.其他:無,,金融控股業,4.0
"工程類-智能生產資深IE工程師 (VSBG , 台南)",中強光電股份有限公司,40000.0,10年以上,"A.產品生產製程規劃 及工時資料擷取流程規劃
B.標準工時/成本作業資訊擷取及管理報表建立C.設備產能稼動率與生產效率資訊擷取及管理報表建立
D.整體生產數位工程及資料管理
E. 成本/效率等相關管理報表建立",1. 專科/大學/研究所 IE相關科系具系統廠10年以上經驗2. 個性積極具協調能力3. 具備成本及費用分析能力4. 具備自動化及數據分析能力者佳5. 英文中上,,光電產業,1.0
"研發類-智能工廠IE主管(CIMO,蘇州)",中強光電股份有限公司,40000.0,8年以上,"1.職務說明:
建立具有適應性、資源效率及人因工程學的智慧工廠生產流程及設備自動化
2.主要任務
A.負責產線自動化系統的推展專案管理
B.發現生產過程中有關設備使用時間、運轉、方法和速度的問題，並導入合適的解決方案。
C.規劃生產程序，以使工作路徑最短，物料搬運最少，產品品質最優，生產效率最高。
D.教導單位成員，讓相關專案如期、如質、如預算的完成",未填寫,,光電產業,8.0
硬體研發工程師 (合勤子公司-宇曜智能）,合勤企業集團_合勤科技股份有限公司,40000.0,2年以上,"1. 硬體電路設計，除錯，測試，與協助生產導入
2. IoT、Wireless、Router、Power Design相關產品設計",1. 熟悉硬體產品研發流程2. 熟悉示波器、頻譜分析儀、RF測試相關儀器尤佳3. 具備EMI/EMC分析能力尤佳4. 具備正向工作態度、獨立作業能力、與團隊協調能力尤佳,,通訊機械器材相關業,2.0
工程類-智能工廠電控設計主任工程師(CIMO),中強光電股份有限公司,40000.0,8年以上,"1.職務說明:
根據市場及客戶需求，訂定產品規格與功能，選用零組件，進行電控軟、硬體設計、機電整合及製作作業標準書，在驗證後根據測試結果進行系統調整，最後完成各類文件之撰寫。

2.主要任務:
A.收集電控需求
B.機電系統整合規劃 
C.電控系統軟硬體設計 
D.品質工程驗證 
E.機台可程式控制器(PLC)、人機介面程式書寫
F.控制器開發（視需求）",1. 團隊精神：積極參與並支持，能彼此鼓勵共同達成目標 。2. 主動積極：不需他人指示或要求能自發做事，面臨問題立即採取行加以解決且為達目標願意承擔額外責任 。3. 人脈建立：主動尋求有利於工作的際關係 或聯繫網絡，積極並效管理、維彼此合。4. 自信心：在表達意見、做決定面對挑戰或挫折時，相己有足夠的能力去應付他人反獨站穩立場 。5. 企圖心：會為自己設定具挑戰性的工作目標並全力以赴，願意主動投注達成或超越既不斷尋求突破 。,,光電產業,8.0
研發類-智能工廠IE主任工程師(CIMO),中強光電股份有限公司,40000.0,8年以上,"1.職務說明:
協助建立具有適應性、資源效率、及人因工程學的智慧工廠生產流程及設備自動化
2.主要任務
A.協助產線自動化系統的推展
B.研究生產過程中有關設備使用時間、運轉、方法和速度的問題，以建立標準的生產率和提升效能。
C.規劃生產程序，以使工作路徑最短，物料搬運最少，產品品質最優，生產效率最高。",未填寫,,光電產業,8.0
智能平台專業人員 - 客戶體驗與通路管理,國泰金控_國泰金融控股股份有限公司,40000.0,3年以上,"1. 規劃產品營業後之客戶線下體驗流程，包含客戶分行業務辦理、致電金服等回報機制。
2. 與平台規劃人員密切合作，以提供完整的服務體驗。
3. 協助前線服務同仁判斷緊急客戶問題，收納通路意見並彙整，提供具體優化建議給產品規劃或行銷規劃人員。",1. 	對於資料彙整、意見搜集與分析具備一定的基礎能力。2.	具獨立作業能力，且對於所規劃的專案具備高度執行能力。3.	能適應高度變化的工作環境，並具備跨部門的溝通協調能力。4.	對於經營新產品服務有極高的熱忱，相信自己能在大公司內實現改變。5.     至少3年以上客服服務相關的工作經驗。,,金融控股業,3.0
智能設備解決方案_S/W PC Base軟體工程師,易發精機股份有限公司,40000.0,經歷不拘,"1負責編寫控制程式以及協助與支援服務工程人員進行設備軟體調整或設定。
2.執行開發內容: HMI人機介面、資料庫、TCP相關通訊功能。 
3.熟悉Visual C# .Net、VB .Net、C++ 程式語言。


",1.具自動控制設備及系統具有一定程度的瞭解者。 2.具機器視覺系統程式開發經驗者尤佳。 3.具思慮清晰可獨立工作，並有良好的團隊工作精神及溝通能力者佳。 4.可進行短期國內外出差。, C C# C++.Net Visual Basic .net Visual C# Visual C++ 系統整合分析 軟體工程系統開發,自動控制相關業,0.0
亞洲區商務主管(台南燦坤先端智能研究所),燦星網通股份有限公司,40000.0,5年以上,"1.大學以上畢業，具備極佳日文表達能力 
2.熟悉日本市場與國際貿易運作
3.曾擔任市場行銷或業務主管5年以上經驗
4.對經營企業與開拓市場具有旺盛企圖心者",未填寫,,家庭電器／設備及用品零售業,5.0
工程類-智能工廠電控設計工程師(CIMO),中強光電股份有限公司,40000.0,5年以上,"1.職務說明:
根據市場及客戶需求，訂定產品規格與功能，選用零組件，進行電控軟、硬體設計、機電整合及製作作業標準書，在驗證後根據測試結果進行系統調整，最後完成各類文件之撰寫。

2.主要任務:
A.收集電控需求
B.機電系統整合規劃 
C.電控系統軟硬體設計 
D.品質工程驗證 
E.機台可程式控制器(PLC)、人機介面程式書寫
F.控制器開發（視需求）",1. 團隊精神：積極參與並支持，能彼此鼓勵共同達成目標 。2. 主動積極：不需他人指示或要求能自發做事，面臨問題立即採取行加以解決且為達目標願意承擔額外責任 。3. 人脈建立：主動尋求有利於工作的際關係 或聯繫網絡，積極並效管理、維彼此合。4. 自信心：在表達意見、做決定面對挑戰或挫折時，相己有足夠的能力去應付他人反獨站穩立場 。5. 企圖心：會為自己設定具挑戰性的工作目標並全力以赴，願意主動投注達成或超越既不斷尋求突破 。,,光電產業,5.0
工程類-智能工廠機械設計工程師(CIMO),中強光電股份有限公司,40000.0,3年以上,"1.職務說明:
根據製造單位需求，與相關部門共同訂定機械自動化開發目標(包含機械元件與電控元件規格)，完成符合規格的整機及細部設計，並於產品製作過程中與相關單位人員進行溝通，且參與測試檢驗。

2.主要任務:
A.收集機械自動化需求
B.訂定機械自動化開發目標
C.整機設計
D.外包工程進度管控
E.大陸出差試機安排",1.自動化或製程機台機台機構械設計經驗2.具拆圖及BOM展開能力,,光電產業,3.0
智能平台專業人員-數位產品規劃師Digital Product Planner,國泰金控_國泰金融控股股份有限公司,40000.0,經歷不拘,"[工作內容]
主要職責 Who are we looking for
規劃集團推出之策略性新型態商業產品/服務，優化使用流程及客戶體驗。

職務說明 What you will do
1. 規劃創新數位產品/服務，及優化用戶體驗，含業務流程設計及網站規劃、資訊規格溝通。
2. 洞察潛在客戶、客戶需求，作為新型態商業產品/服務的改善與發展方向。
3. 使用Google Analytics等數位工具挖掘用戶行為資料。

其他條件：
1. 對經營新種業務有極高的熱忱，具抗壓性、跨部門的獨立溝通協調能力。
2. 具獨立分析及規劃能力，3-5年以上數位產品規劃經驗尤佳。
3. 對數位高度敏感，擅長從資料中洞察、分析問題。
4. 對於UX具有一定程度認知，能獨立產出wireframe及熟悉繪製之工具（如Axure)。
5. 具備簡報製作基本能力，具有新產品及新功能提案能力尤佳。",NA,,金融控股業,0.0
創新RD主管(台南燦坤先端智能研究所),燦星網通股份有限公司,40000.0,10年以上,"1. 擔任研發相關工作10年以上經驗。
2. 曾在研發相關工作任職時，申請及通過專利認證者為佳。
3. 具有產品機構設計、機械加工相關知識、產品組裝分析等工作經驗。
4. 具3D及2D繪圖軟體能力。
5. 具有作事主動積極、良好溝通能力、重視團隊合作、對工作有熱忱之人格特性。",NA,,家庭電器／設備及用品零售業,1.0
貿易主管(台南燦坤先端智能研究所),燦星網通股份有限公司,40000.0,5年以上,"1.具有與歐洲、美洲商務業務實際5年以上經驗者兼Marketing或PM之背景尤佳。
2.有實際5人或以上團隊管理經驗者。
3.對小家電産品,具有熱情，代工領域熟悉，精通OEM/ODM商業模式。
4.精通英文聽,説,讀,寫能力。
5.大學英美語文系或國際貿易相關科系畢業。
6.能配合工作需要出差者。",1.有上市櫃公司相關經驗者優先考慮。, 國際貿易基本概念,家庭電器／設備及用品零售業,5.0
系統工程師(台南燦坤先端智能研究所),燦星網通股份有限公司,30000.0,2年以上,"1.負責與資訊系統管理相關流程。
2.公司內部電腦系統設定與操作問題的排解與諮詢 
3.負責公司網路控管及設定(包括無線網路)
4.資訊硬體設備控管、維護及軟體安裝 
5.機房與網路管理及維護
6.通話設備與監視系統申設及維護
7.維護公司資料庫和系統安全，並進行備份工作
8.控管、備份網路伺服器內的檔案，並設定用戶端權限，以確保檔案安全
9.評估系統修改及建立新系統需求作業
10.維護現有程式與應用軟體
11.主管交辦事項 
12.積極、具熱忱學習，並投入工作",未填寫, 伺服器網站管理維護 作業系統基本操作 資料備份與復原 電腦設備裝配 資訊設備操作檢修 資訊設備環境設定 系統架構規劃 系統維護操作 資料通訊與網路應用 電信設備安裝 資料庫系統管理維護 系統架構規劃與維護 網路系統配置 網路架設佈線 網路規劃管理,家庭電器／設備及用品零售業,2.0
